GeneID1	GeneID2	PCC_healthy	feature_type	PCC_healthy_abs
unknown RT 16.698449	unknown RT 7.600111	0.806549208420891	metabolite-metabolite	0.806549208420891
2-Hydroxybutyric acid, 2TMS derivative RT7.639387	2-Hydroxybutyric acid, 2TMS derivative RT7.639387	1	metabolite-metabolite	1
unknown RT 7.826556	unknown RT 7.826556	1	metabolite-metabolite	1
Methylphenol RT8.024749	Methylphenol RT8.024749	1	metabolite-metabolite	1
L-Leucine RT8.057321	L-Leucine RT8.057321	1	metabolite-metabolite	1
L-Valine, 2TMS derivative RT8.840117	L-Leucine RT8.057321	0.770911454112067	metabolite-metabolite	0.770911454112067
unknown RT 11.638228	L-Leucine RT8.057321	0.427888603668674	metabolite-metabolite	0.427888603668674
3-Hydroxybutyric acid, 2TMS derivative RT8.103591	3-Hydroxybutyric acid, 2TMS derivative RT8.103591	1	metabolite-metabolite	1
C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS	C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS	1	metabolite-metabolite	1
3-hydroxyisovaleric acid 2TMS RT8.767878	3-hydroxyisovaleric acid 2TMS RT8.767878	1	metabolite-metabolite	1
2-Ketoisocaproic acid mo-tms RT8.802217	2-Ketoisocaproic acid mo-tms RT8.802217	1	metabolite-metabolite	1
L-Leucine RT8.057321	L-Valine, 2TMS derivative RT8.840117	0.770911454112067	metabolite-metabolite	0.770911454112067
L-Valine, 2TMS derivative RT8.840117	L-Valine, 2TMS derivative RT8.840117	1	metabolite-metabolite	1
L-Isoleucine, 2TMS derivative RT9.853387	L-Valine, 2TMS derivative RT8.840117	0.551129061974224	metabolite-metabolite	0.551129061974224
unknown RT 9.376246	unknown RT 9.376246	1	metabolite-metabolite	1
L-Serine, 2TMS derivative RT9.393601	L-Serine, 2TMS derivative RT9.393601	1	metabolite-metabolite	1
unknown RT 9.514184	unknown RT 9.514184	1	metabolite-metabolite	1
Phosphoric acid RT9.570223	Phosphoric acid RT9.570223	1	metabolite-metabolite	1
Glycerol, 3TMS derivative RT9.590666	Glycerol, 3TMS derivative RT9.590666	1	metabolite-metabolite	1
L-Valine, 2TMS derivative RT8.840117	L-Isoleucine, 2TMS derivative RT9.853387	0.551129061974224	metabolite-metabolite	0.551129061974224
L-Isoleucine, 2TMS derivative RT9.853387	L-Isoleucine, 2TMS derivative RT9.853387	1	metabolite-metabolite	1
L-Proline, 2TMS derivative RT9.926992	L-Proline, 2TMS derivative RT9.926992	1	metabolite-metabolite	1
Glycine, 3TMS derivative RT10.031162	Glycine, 3TMS derivative RT10.031162	1	metabolite-metabolite	1
2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827	2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827	1	metabolite-metabolite	1
unknown RT 10.88902	unknown RT 10.88902	1	metabolite-metabolite	1
L-Threonine, 3TMS derivative RT10.986218	L-Threonine, 3TMS derivative RT10.986218	1	metabolite-metabolite	1
unknown RT 15.972121	L-Threonine, 3TMS derivative RT10.986218	0.638421786933465	metabolite-metabolite	0.638421786933465
Sugar RT11.180625	Sugar RT11.180625	1	metabolite-metabolite	1
Sugar RT12.311732	Sugar RT11.180625	0.596205542255083	metabolite-metabolite	0.596205542255083
Sugar RT12.405521	Sugar RT11.180625	0.586841869872965	metabolite-metabolite	0.586841869872965
Creatinine, 3TMS Derivative RT12.941566	Sugar RT11.180625	0.88008050945964	metabolite-metabolite	0.88008050945964
Sugar RT14.65062	Sugar RT11.180625	0.641969240099037	metabolite-metabolite	0.641969240099037
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT11.180625	0.521151913451623	metabolite-metabolite	0.521151913451623
unknown RT 16.995233	Sugar RT11.180625	0.673665256012177	metabolite-metabolite	0.673665256012177
Pseudo uridine penta-tms RT19.994184	Sugar RT11.180625	0.641901607648479	metabolite-metabolite	0.641901607648479
unknown RT 5.349937	unknown RT 11.284935	0.826750058874944	metabolite-metabolite	0.826750058874944
unknown RT 11.284935	unknown RT 11.284935	1	metabolite-metabolite	1
unknown RT 11.546791	unknown RT 11.284935	0.848773072498951	metabolite-metabolite	0.848773072498951
Sugar RT12.311732	unknown RT 11.284935	0.89796622367936	metabolite-metabolite	0.89796622367936
Sugar RT12.405521	unknown RT 11.284935	0.894950154785155	metabolite-metabolite	0.894950154785155
unknown RT 14.104802	unknown RT 11.284935	0.694877538297946	metabolite-metabolite	0.694877538297946
Sugar RT14.65062	unknown RT 11.284935	0.880660515776109	metabolite-metabolite	0.880660515776109
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 11.284935	0.789287683886234	metabolite-metabolite	0.789287683886234
unknown RT 16.698449	unknown RT 11.284935	0.778804343065107	metabolite-metabolite	0.778804343065107
unknown RT 16.995233	unknown RT 11.284935	0.754693801757041	metabolite-metabolite	0.754693801757041
Pseudo uridine penta-tms RT19.994184	unknown RT 11.284935	0.845466534915555	metabolite-metabolite	0.845466534915555
Xylonic Acid Total	unknown RT 11.284935	0.398085418528245	metabolite-metabolite	0.398085418528245
unknown RT 5.349937	unknown RT 11.546791	0.681960034747104	metabolite-metabolite	0.681960034747104
unknown RT 11.284935	unknown RT 11.546791	0.848773072498951	metabolite-metabolite	0.848773072498951
unknown RT 11.546791	unknown RT 11.546791	1	metabolite-metabolite	1
Sugar RT12.311732	unknown RT 11.546791	0.776439597183677	metabolite-metabolite	0.776439597183677
Sugar RT12.405521	unknown RT 11.546791	0.779310847652785	metabolite-metabolite	0.779310847652785
unknown RT 14.104802	unknown RT 11.546791	0.660957804842127	metabolite-metabolite	0.660957804842127
Sugar RT14.65062	unknown RT 11.546791	0.781977951998791	metabolite-metabolite	0.781977951998791
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 11.546791	0.741121385959368	metabolite-metabolite	0.741121385959368
L-Leucine RT8.057321	unknown RT 11.638228	0.427888603668674	metabolite-metabolite	0.427888603668674
unknown RT 11.638228	unknown RT 11.638228	1	metabolite-metabolite	1
unknown RT 11.786329	unknown RT 11.786329	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	Aspartic acid, 3TMS derivative RT11.991212	1	metabolite-metabolite	1
unknown RT 12.281912	Aspartic acid, 3TMS derivative RT11.991212	0.859002616610816	metabolite-metabolite	0.859002616610816
unknown RT 12.857088	Aspartic acid, 3TMS derivative RT11.991212	0.908786574713726	metabolite-metabolite	0.908786574713726
unknown RT 13.237562	Aspartic acid, 3TMS derivative RT11.991212	0.760648814923344	metabolite-metabolite	0.760648814923344
unknown RT 13.449509	Aspartic acid, 3TMS derivative RT11.991212	0.922190487070133	metabolite-metabolite	0.922190487070133
unknown RT 14.212299	Aspartic acid, 3TMS derivative RT11.991212	0.922073404861575	metabolite-metabolite	0.922073404861575
unknown RT 14.608491	Aspartic acid, 3TMS derivative RT11.991212	0.903673253172169	metabolite-metabolite	0.903673253172169
unknown RT 17.919809	Aspartic acid, 3TMS derivative RT11.991212	0.831982974713626	metabolite-metabolite	0.831982974713626
unknown RT 12.201671	unknown RT 12.201671	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 12.281912	0.859002616610816	metabolite-metabolite	0.859002616610816
unknown RT 12.281912	unknown RT 12.281912	1	metabolite-metabolite	1
unknown RT 12.857088	unknown RT 12.281912	0.978172779547908	metabolite-metabolite	0.978172779547908
unknown RT 13.237562	unknown RT 12.281912	0.794507653501749	metabolite-metabolite	0.794507653501749
unknown RT 13.449509	unknown RT 12.281912	0.974042435338546	metabolite-metabolite	0.974042435338546
unknown RT 14.212299	unknown RT 12.281912	0.932452372809981	metabolite-metabolite	0.932452372809981
unknown RT 14.608491	unknown RT 12.281912	0.90074824388934	metabolite-metabolite	0.90074824388934
Sugar RT15.498817	unknown RT 12.281912	0.836822833592284	metabolite-metabolite	0.836822833592284
Sugar RT16.3187	unknown RT 12.281912	0.890807121837768	metabolite-metabolite	0.890807121837768
Sugar RT17.084061	unknown RT 12.281912	0.884467699160853	metabolite-metabolite	0.884467699160853
Sugar RT17.885434	unknown RT 12.281912	0.891429571196417	metabolite-metabolite	0.891429571196417
unknown RT 17.919809	unknown RT 12.281912	0.890716085672738	metabolite-metabolite	0.890716085672738
unknown RT 5.349937	Sugar RT12.311732	0.817894861445238	metabolite-metabolite	0.817894861445238
Sugar RT11.180625	Sugar RT12.311732	0.596205542255083	metabolite-metabolite	0.596205542255083
unknown RT 11.284935	Sugar RT12.311732	0.89796622367936	metabolite-metabolite	0.89796622367936
unknown RT 11.546791	Sugar RT12.311732	0.776439597183677	metabolite-metabolite	0.776439597183677
Sugar RT12.311732	Sugar RT12.311732	1	metabolite-metabolite	1
Sugar RT12.405521	Sugar RT12.311732	0.94553090030566	metabolite-metabolite	0.94553090030566
unknown RT 12.819965	Sugar RT12.311732	0.808078593722021	metabolite-metabolite	0.808078593722021
Creatinine, 3TMS Derivative RT12.941566	Sugar RT12.311732	0.635645203544102	metabolite-metabolite	0.635645203544102
unknown RT 14.104802	Sugar RT12.311732	0.759447050111661	metabolite-metabolite	0.759447050111661
Sugar RT14.65062	Sugar RT12.311732	0.954920419277316	metabolite-metabolite	0.954920419277316
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT12.311732	0.835099168059758	metabolite-metabolite	0.835099168059758
unknown RT 16.698449	Sugar RT12.311732	0.830006416495142	metabolite-metabolite	0.830006416495142
unknown RT 16.995233	Sugar RT12.311732	0.833941251537331	metabolite-metabolite	0.833941251537331
Sugar acid RT17.285215	Sugar RT12.311732	0.692592579593964	metabolite-metabolite	0.692592579593964
Pseudo uridine penta-tms RT19.994184	Sugar RT12.311732	0.926177284562417	metabolite-metabolite	0.926177284562417
Xylonic Acid Total	Sugar RT12.311732	0.452124576221166	metabolite-metabolite	0.452124576221166
unknown RT 5.349937	Sugar RT12.405521	0.844798351384148	metabolite-metabolite	0.844798351384148
Sugar RT11.180625	Sugar RT12.405521	0.586841869872965	metabolite-metabolite	0.586841869872965
unknown RT 11.284935	Sugar RT12.405521	0.894950154785155	metabolite-metabolite	0.894950154785155
unknown RT 11.546791	Sugar RT12.405521	0.779310847652785	metabolite-metabolite	0.779310847652785
Sugar RT12.311732	Sugar RT12.405521	0.94553090030566	metabolite-metabolite	0.94553090030566
Sugar RT12.405521	Sugar RT12.405521	1	metabolite-metabolite	1
unknown RT 12.819965	Sugar RT12.405521	0.83418120786293	metabolite-metabolite	0.83418120786293
Creatinine, 3TMS Derivative RT12.941566	Sugar RT12.405521	0.693590175657979	metabolite-metabolite	0.693590175657979
unknown RT 14.104802	Sugar RT12.405521	0.679173093494373	metabolite-metabolite	0.679173093494373
Sugar RT14.65062	Sugar RT12.405521	0.959480663837589	metabolite-metabolite	0.959480663837589
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT12.405521	0.816800230529239	metabolite-metabolite	0.816800230529239
unknown RT 16.698449	Sugar RT12.405521	0.871801331833687	metabolite-metabolite	0.871801331833687
unknown RT 16.995233	Sugar RT12.405521	0.847527861640009	metabolite-metabolite	0.847527861640009
Sugar acid RT17.285215	Sugar RT12.405521	0.70421467053136	metabolite-metabolite	0.70421467053136
Pseudo uridine penta-tms RT19.994184	Sugar RT12.405521	0.93219418780586	metabolite-metabolite	0.93219418780586
Xylonic Acid Total	Sugar RT12.405521	0.554043776035003	metabolite-metabolite	0.554043776035003
Mevalonic acid	Sugar RT12.405521	0.442200425944983	metabolite-metabolite	0.442200425944983
Salicylic acid	Salicylic acid	1	metabolite-metabolite	1
L-Methionine, 2TMS derivative RT12.546672	L-Methionine, 2TMS derivative RT12.546672	1	metabolite-metabolite	1
L-Lysine, N2,N6,N6-tris(trimethylsilyl)-, trimethylsilyl ester RT16.60669	L-Methionine, 2TMS derivative RT12.546672	0.808540794917467	metabolite-metabolite	0.808540794917467
Tyrosine, 3TMS derivative RT16.755616	L-Methionine, 2TMS derivative RT12.546672	0.826077992647526	metabolite-metabolite	0.826077992647526
L-Pyroglutamic acid RT12.572016	L-Pyroglutamic acid RT12.572016	1	metabolite-metabolite	1
Iminodiacetic acid RT12.666785	Iminodiacetic acid RT12.666785	1	metabolite-metabolite	1
unknown RT 18.560954	Iminodiacetic acid RT12.666785	0.852518356876184	metabolite-metabolite	0.852518356876184
Sugar RT12.311732	unknown RT 12.819965	0.808078593722021	metabolite-metabolite	0.808078593722021
Sugar RT12.405521	unknown RT 12.819965	0.83418120786293	metabolite-metabolite	0.83418120786293
unknown RT 12.819965	unknown RT 12.819965	1	metabolite-metabolite	1
Creatinine, 3TMS Derivative RT12.941566	unknown RT 12.819965	0.877803590838943	metabolite-metabolite	0.877803590838943
unknown RT 14.104802	unknown RT 12.819965	0.459119084215291	metabolite-metabolite	0.459119084215291
Sugar RT14.65062	unknown RT 12.819965	0.810829067437166	metabolite-metabolite	0.810829067437166
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 12.819965	0.70803319286874	metabolite-metabolite	0.70803319286874
unknown RT 16.698449	unknown RT 12.819965	0.764528049947123	metabolite-metabolite	0.764528049947123
unknown RT 16.995233	unknown RT 12.819965	0.791782990946188	metabolite-metabolite	0.791782990946188
Xylonic Acid Total	unknown RT 12.819965	0.385443503111539	metabolite-metabolite	0.385443503111539
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 12.857088	0.908786574713726	metabolite-metabolite	0.908786574713726
unknown RT 12.281912	unknown RT 12.857088	0.978172779547908	metabolite-metabolite	0.978172779547908
unknown RT 12.857088	unknown RT 12.857088	1	metabolite-metabolite	1
unknown RT 13.237562	unknown RT 12.857088	0.77125958471384	metabolite-metabolite	0.77125958471384
unknown RT 13.449509	unknown RT 12.857088	0.993105662742832	metabolite-metabolite	0.993105662742832
unknown RT 14.212299	unknown RT 12.857088	0.962304543125145	metabolite-metabolite	0.962304543125145
unknown RT 14.608491	unknown RT 12.857088	0.943773059865073	metabolite-metabolite	0.943773059865073
Sugar RT15.498817	unknown RT 12.857088	0.839708619909593	metabolite-metabolite	0.839708619909593
Sugar RT16.3187	unknown RT 12.857088	0.885857154004285	metabolite-metabolite	0.885857154004285
Sugar RT17.084061	unknown RT 12.857088	0.874628291970696	metabolite-metabolite	0.874628291970696
Sugar RT17.885434	unknown RT 12.857088	0.828649885691079	metabolite-metabolite	0.828649885691079
unknown RT 17.919809	unknown RT 12.857088	0.89387580050856	metabolite-metabolite	0.89387580050856
unknown RT 5.349937	Creatinine, 3TMS Derivative RT12.941566	0.635715174701708	metabolite-metabolite	0.635715174701708
Sugar RT11.180625	Creatinine, 3TMS Derivative RT12.941566	0.88008050945964	metabolite-metabolite	0.88008050945964
Sugar RT12.311732	Creatinine, 3TMS Derivative RT12.941566	0.635645203544102	metabolite-metabolite	0.635645203544102
Sugar RT12.405521	Creatinine, 3TMS Derivative RT12.941566	0.693590175657979	metabolite-metabolite	0.693590175657979
unknown RT 12.819965	Creatinine, 3TMS Derivative RT12.941566	0.877803590838943	metabolite-metabolite	0.877803590838943
Creatinine, 3TMS Derivative RT12.941566	Creatinine, 3TMS Derivative RT12.941566	1	metabolite-metabolite	1
Sugar RT14.65062	Creatinine, 3TMS Derivative RT12.941566	0.694886471123415	metabolite-metabolite	0.694886471123415
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Creatinine, 3TMS Derivative RT12.941566	0.572498004201846	metabolite-metabolite	0.572498004201846
unknown RT 16.698449	Creatinine, 3TMS Derivative RT12.941566	0.714590311228962	metabolite-metabolite	0.714590311228962
unknown RT 16.995233	Creatinine, 3TMS Derivative RT12.941566	0.75346415347704	metabolite-metabolite	0.75346415347704
Inositol RT18.082993	Creatinine, 3TMS Derivative RT12.941566	0.792902225426708	metabolite-metabolite	0.792902225426708
Pseudo uridine penta-tms RT19.994184	Creatinine, 3TMS Derivative RT12.941566	0.709850346718759	metabolite-metabolite	0.709850346718759
L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171	L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 13.237562	0.760648814923344	metabolite-metabolite	0.760648814923344
unknown RT 12.281912	unknown RT 13.237562	0.794507653501749	metabolite-metabolite	0.794507653501749
unknown RT 12.857088	unknown RT 13.237562	0.77125958471384	metabolite-metabolite	0.77125958471384
unknown RT 13.237562	unknown RT 13.237562	1	metabolite-metabolite	1
unknown RT 13.449509	unknown RT 13.237562	0.766528543210453	metabolite-metabolite	0.766528543210453
unknown RT 14.212299	unknown RT 13.237562	0.783384428892336	metabolite-metabolite	0.783384428892336
unknown RT 14.608491	unknown RT 13.237562	0.80217225810918	metabolite-metabolite	0.80217225810918
unknown RT 17.919809	unknown RT 13.237562	0.790050632049647	metabolite-metabolite	0.790050632049647
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 13.449509	0.922190487070133	metabolite-metabolite	0.922190487070133
unknown RT 12.281912	unknown RT 13.449509	0.974042435338546	metabolite-metabolite	0.974042435338546
unknown RT 12.857088	unknown RT 13.449509	0.993105662742832	metabolite-metabolite	0.993105662742832
unknown RT 13.237562	unknown RT 13.449509	0.766528543210453	metabolite-metabolite	0.766528543210453
unknown RT 13.449509	unknown RT 13.449509	1	metabolite-metabolite	1
unknown RT 14.212299	unknown RT 13.449509	0.951258152366261	metabolite-metabolite	0.951258152366261
unknown RT 14.608491	unknown RT 13.449509	0.941172693824388	metabolite-metabolite	0.941172693824388
Sugar RT15.498817	unknown RT 13.449509	0.831323321684384	metabolite-metabolite	0.831323321684384
Sugar RT16.3187	unknown RT 13.449509	0.872240525924241	metabolite-metabolite	0.872240525924241
Sugar RT17.084061	unknown RT 13.449509	0.861496117450067	metabolite-metabolite	0.861496117450067
Sugar RT17.885434	unknown RT 13.449509	0.836183318656344	metabolite-metabolite	0.836183318656344
unknown RT 17.919809	unknown RT 13.449509	0.888721545589861	metabolite-metabolite	0.888721545589861
L-Glutamic acid, 3TMS derivative RT13.628483	L-Glutamic acid, 3TMS derivative RT13.628483	1	metabolite-metabolite	1
Phenylalanine, 2TMS derivative RT13.727813	Phenylalanine, 2TMS derivative RT13.727813	1	metabolite-metabolite	1
Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	1	metabolite-metabolite	1
Sugar RT14.65062	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	0.824000149448503	metabolite-metabolite	0.824000149448503
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	0.839824121977321	metabolite-metabolite	0.839824121977321
unknown RT 5.349937	unknown RT 14.104802	0.616952347871356	metabolite-metabolite	0.616952347871356
unknown RT 11.284935	unknown RT 14.104802	0.694877538297946	metabolite-metabolite	0.694877538297946
unknown RT 11.546791	unknown RT 14.104802	0.660957804842127	metabolite-metabolite	0.660957804842127
Sugar RT12.311732	unknown RT 14.104802	0.759447050111661	metabolite-metabolite	0.759447050111661
Sugar RT12.405521	unknown RT 14.104802	0.679173093494373	metabolite-metabolite	0.679173093494373
unknown RT 12.819965	unknown RT 14.104802	0.459119084215291	metabolite-metabolite	0.459119084215291
unknown RT 14.104802	unknown RT 14.104802	1	metabolite-metabolite	1
Sugar RT14.65062	unknown RT 14.104802	0.725945623290249	metabolite-metabolite	0.725945623290249
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 14.104802	0.643326677287875	metabolite-metabolite	0.643326677287875
unknown RT 16.698449	unknown RT 14.104802	0.608401960288027	metabolite-metabolite	0.608401960288027
unknown RT 16.995233	unknown RT 14.104802	0.676863187369617	metabolite-metabolite	0.676863187369617
Pseudo uridine penta-tms RT19.994184	unknown RT 14.104802	0.755619014042315	metabolite-metabolite	0.755619014042315
Xylonic Acid Total	unknown RT 14.104802	0.159765046062433	metabolite-metabolite	0.159765046062433
unknown RT 14.193323	unknown RT 14.193323	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 14.212299	0.922073404861575	metabolite-metabolite	0.922073404861575
unknown RT 12.281912	unknown RT 14.212299	0.932452372809981	metabolite-metabolite	0.932452372809981
unknown RT 12.857088	unknown RT 14.212299	0.962304543125145	metabolite-metabolite	0.962304543125145
unknown RT 13.237562	unknown RT 14.212299	0.783384428892336	metabolite-metabolite	0.783384428892336
unknown RT 13.449509	unknown RT 14.212299	0.951258152366261	metabolite-metabolite	0.951258152366261
unknown RT 14.212299	unknown RT 14.212299	1	metabolite-metabolite	1
unknown RT 14.608491	unknown RT 14.212299	0.935792209948133	metabolite-metabolite	0.935792209948133
Sugar RT15.498817	unknown RT 14.212299	0.769486618692674	metabolite-metabolite	0.769486618692674
Sugar RT16.3187	unknown RT 14.212299	0.848106139808691	metabolite-metabolite	0.848106139808691
Sugar RT17.084061	unknown RT 14.212299	0.835930448220665	metabolite-metabolite	0.835930448220665
Sugar RT17.885434	unknown RT 14.212299	0.783980362202423	metabolite-metabolite	0.783980362202423
unknown RT 17.919809	unknown RT 14.212299	0.891156957842685	metabolite-metabolite	0.891156957842685
unknown RT 14.46665	unknown RT 14.46665	1	metabolite-metabolite	1
Sugar RT14.499155	Sugar RT14.499155	1	metabolite-metabolite	1
Indol-5-ol, 2TMS derivative RT14.572634	Indol-5-ol, 2TMS derivative RT14.572634	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 14.608491	0.903673253172169	metabolite-metabolite	0.903673253172169
unknown RT 12.281912	unknown RT 14.608491	0.90074824388934	metabolite-metabolite	0.90074824388934
unknown RT 12.857088	unknown RT 14.608491	0.943773059865073	metabolite-metabolite	0.943773059865073
unknown RT 13.237562	unknown RT 14.608491	0.80217225810918	metabolite-metabolite	0.80217225810918
unknown RT 13.449509	unknown RT 14.608491	0.941172693824388	metabolite-metabolite	0.941172693824388
unknown RT 14.212299	unknown RT 14.608491	0.935792209948133	metabolite-metabolite	0.935792209948133
unknown RT 14.608491	unknown RT 14.608491	1	metabolite-metabolite	1
Sugar RT15.498817	unknown RT 14.608491	0.76290390039888	metabolite-metabolite	0.76290390039888
Sugar RT16.3187	unknown RT 14.608491	0.803311902883862	metabolite-metabolite	0.803311902883862
Sugar RT17.084061	unknown RT 14.608491	0.786002922562441	metabolite-metabolite	0.786002922562441
Sugar RT17.885434	unknown RT 14.608491	0.77096095810288	metabolite-metabolite	0.77096095810288
unknown RT 17.919809	unknown RT 14.608491	0.857401359744579	metabolite-metabolite	0.857401359744579
unknown RT 5.349937	Sugar RT14.65062	0.846016528944618	metabolite-metabolite	0.846016528944618
unknown RT 7.600111	Sugar RT14.65062	0.781789807722215	metabolite-metabolite	0.781789807722215
Sugar RT11.180625	Sugar RT14.65062	0.641969240099037	metabolite-metabolite	0.641969240099037
unknown RT 11.284935	Sugar RT14.65062	0.880660515776109	metabolite-metabolite	0.880660515776109
unknown RT 11.546791	Sugar RT14.65062	0.781977951998791	metabolite-metabolite	0.781977951998791
Sugar RT12.311732	Sugar RT14.65062	0.954920419277316	metabolite-metabolite	0.954920419277316
Sugar RT12.405521	Sugar RT14.65062	0.959480663837589	metabolite-metabolite	0.959480663837589
unknown RT 12.819965	Sugar RT14.65062	0.810829067437166	metabolite-metabolite	0.810829067437166
Creatinine, 3TMS Derivative RT12.941566	Sugar RT14.65062	0.694886471123415	metabolite-metabolite	0.694886471123415
Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	Sugar RT14.65062	0.824000149448503	metabolite-metabolite	0.824000149448503
unknown RT 14.104802	Sugar RT14.65062	0.725945623290249	metabolite-metabolite	0.725945623290249
Sugar RT14.65062	Sugar RT14.65062	1	metabolite-metabolite	1
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT14.65062	0.887398562343236	metabolite-metabolite	0.887398562343236
unknown RT 16.698449	Sugar RT14.65062	0.89986113539009	metabolite-metabolite	0.89986113539009
unknown RT 16.995233	Sugar RT14.65062	0.84606570451695	metabolite-metabolite	0.84606570451695
Sugar acid RT17.285215	Sugar RT14.65062	0.700006841556283	metabolite-metabolite	0.700006841556283
Pseudo uridine penta-tms RT19.994184	Sugar RT14.65062	0.955060824469731	metabolite-metabolite	0.955060824469731
Xylonic Acid Total	Sugar RT14.65062	0.456228132682513	metabolite-metabolite	0.456228132682513
unknown RT 5.349937	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.80510677696711	metabolite-metabolite	0.80510677696711
Sugar RT11.180625	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.521151913451623	metabolite-metabolite	0.521151913451623
unknown RT 11.284935	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.789287683886234	metabolite-metabolite	0.789287683886234
unknown RT 11.546791	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.741121385959368	metabolite-metabolite	0.741121385959368
Sugar RT12.311732	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.835099168059758	metabolite-metabolite	0.835099168059758
Sugar RT12.405521	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.816800230529239	metabolite-metabolite	0.816800230529239
