GeneID1	GeneID2	PCC_healthy	feature_type	PCC_healthy_abs
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	VWF	0.323925644265771	protein-protein	0.323925644265771
PLG	PROS1	0.131342393987056	protein-protein	0.131342393987056
PLG	C3	-0.21688622021161	protein-protein	0.21688622021161
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
TTR	C3	0.189903997100334	protein-protein	0.189903997100334
TTR	PLG	0.527973073557948	protein-protein	0.527973073557948
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
KNG1	TTR	0.183681462573998	protein-protein	0.183681462573998
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
F10	SERPINF2	0.376039764110045	protein-protein	0.376039764110045
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
C5	PROS1	0.309731060631039	protein-protein	0.309731060631039
C5	TTR	-0.215641600937664	protein-protein	0.215641600937664
C5	SERPINF2	0.45368017661806	protein-protein	0.45368017661806
CD14	C3	0.243042472284453	protein-protein	0.243042472284453
CD14	PLG	-0.318835004478792	protein-protein	0.318835004478792
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
B2M	CD14	0.402389832157807	protein-protein	0.402389832157807
AGT	C3	-0.26726257400302	protein-protein	0.26726257400302
AGT	PLG	-0.145886992314048	protein-protein	0.145886992314048
AGT	TTR	-0.186766092119289	protein-protein	0.186766092119289
AGT	F10	0.25398727946556	protein-protein	0.25398727946556
AGT	C5	0.228393911291308	protein-protein	0.228393911291308
C4BPB	AGT	-0.393660365345182	protein-protein	0.393660365345182
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	B2M	0.809959393972829	protein-protein	0.809959393972829
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
HLA-A	C3	-0.151784697087202	protein-protein	0.151784697087202
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
NCAM1	MB	0.357061256825108	protein-protein	0.357061256825108
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
C5	SERPINF2	0.45368017661806	protein-protein	0.45368017661806
CD14	C3	0.243042472284453	protein-protein	0.243042472284453
CD14	KNG1	-0.316351290183335	protein-protein	0.316351290183335
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
AGT	PROS1	-0.151752887017948	protein-protein	0.151752887017948
AGT	PLG	-0.145886992314048	protein-protein	0.145886992314048
AGT	SERPINF2	0.205268703502526	protein-protein	0.205268703502526
AGT	C5	0.228393911291308	protein-protein	0.228393911291308
C4BPB	C3	-0.116728423580875	protein-protein	0.116728423580875
C4BPB	SERPINF2	0.11457411336702	protein-protein	0.11457411336702
C4BPB	AGT	-0.393660365345182	protein-protein	0.393660365345182
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
F10	KNG1	0.188870573047223	protein-protein	0.188870573047223
F10	SERPINF2	0.376039764110045	protein-protein	0.376039764110045
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	FCGR3A	0.326775611474178	protein-protein	0.326775611474178
CD14	PROS1	-0.299393526088498	protein-protein	0.299393526088498
CD14	FCGR3A	0.2622025444651	protein-protein	0.2622025444651
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
LYZ	FCGR3A	0.326775611474178	protein-protein	0.326775611474178
VWF	PROS1	-0.256579264670632	protein-protein	0.256579264670632
CD14	FCGR3A	0.2622025444651	protein-protein	0.2622025444651
B2M	FCGR3A	0.263951425989066	protein-protein	0.263951425989066
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	FCGR3A	0.326775611474178	protein-protein	0.326775611474178
LYZ	CD14	0.174722881509692	protein-protein	0.174722881509692
LYZ	B2M	0.809959393972829	protein-protein	0.809959393972829
C3	PROS1	-0.352165341689925	protein-protein	0.352165341689925
PLG	PROS1	0.131342393987056	protein-protein	0.131342393987056
PLG	C3	-0.21688622021161	protein-protein	0.21688622021161
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
KNG1	PROS1	0.156100677163468	protein-protein	0.156100677163468
KNG1	C3	-0.192209143997695	protein-protein	0.192209143997695
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
F10	PLG	0.562621137020703	protein-protein	0.562621137020703
F10	KNG1	0.188870573047223	protein-protein	0.188870573047223
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
C5	PROS1	0.309731060631039	protein-protein	0.309731060631039
C5	KNG1	0.126332096319121	protein-protein	0.126332096319121
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	FCGR3A	0.263951425989066	protein-protein	0.263951425989066
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
AGT	C3	-0.26726257400302	protein-protein	0.26726257400302
C4BPB	C3	-0.116728423580875	protein-protein	0.116728423580875
FCGR3A	HLA-B	0.260325177329552	protein-protein	0.260325177329552
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
KNG1	HLA-B	-0.204117543851123	protein-protein	0.204117543851123
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
CD14	HLA-C	0.207207933757695	protein-protein	0.207207933757695
CD14	VWF	0.592007555523906	protein-protein	0.592007555523906
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HSPA5	0.28536862073652	protein-protein	0.28536862073652
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	VWF	0.323925644265771	protein-protein	0.323925644265771
CD14	VWF	0.592007555523906	protein-protein	0.592007555523906
SERPINF2	PROS1	0.254137201670686	protein-protein	0.254137201670686
SERPINF2	HLA-C	0.138281074592274	protein-protein	0.138281074592274
VWF	PROS1	-0.256579264670632	protein-protein	0.256579264670632
CD14	HLA-C	0.207207933757695	protein-protein	0.207207933757695
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
AGT	PROS1	-0.151752887017948	protein-protein	0.151752887017948
AGT	VWF	0.303099663982392	protein-protein	0.303099663982392
C3	HLA-B	0.142049407145176	protein-protein	0.142049407145176
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
KNG1	TTR	0.183681462573998	protein-protein	0.183681462573998
SERPINF2	KNG1	0.237439722286862	protein-protein	0.237439722286862
F10	SERPINF2	0.376039764110045	protein-protein	0.376039764110045
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
HLA-A	C3	-0.151784697087202	protein-protein	0.151784697087202
SERPINA5	TTR	0.461852858789486	protein-protein	0.461852858789486
AGT	F10	0.25398727946556	protein-protein	0.25398727946556
AGT	SERPINA5	-0.328547102170929	protein-protein	0.328547102170929
LYZ	HLA-B	0.151389494369805	protein-protein	0.151389494369805
LYZ	C4BPB	-0.208978160860334	protein-protein	0.208978160860334
MB	LTF	0.46379019903842	protein-protein	0.46379019903842
HLA-C	MB	0.349524929689889	protein-protein	0.349524929689889
SERPINA5	LTF	-0.322054336658665	protein-protein	0.322054336658665
CD14	FCGR3A	0.2622025444651	protein-protein	0.2622025444651
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
LYZ	FCGR3A	0.326775611474178	protein-protein	0.326775611474178
LYZ	MB	0.300086690046763	protein-protein	0.300086690046763
LYZ	CD14	0.174722881509692	protein-protein	0.174722881509692
CD14	VWF	0.592007555523906	protein-protein	0.592007555523906
C3	LTF	0.169030568505604	protein-protein	0.169030568505604
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
KNG1	MB	-0.569859066447422	protein-protein	0.569859066447422
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
C4BPB	HSPA5	-0.247535534753395	protein-protein	0.247535534753395
VWF	F10	-0.175828587792927	protein-protein	0.175828587792927
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
SERPINF2	KNG1	0.237439722286862	protein-protein	0.237439722286862
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
C5	TTR	-0.215641600937664	protein-protein	0.215641600937664
CD14	PROS1	-0.299393526088498	protein-protein	0.299393526088498
CD14	C3	0.243042472284453	protein-protein	0.243042472284453
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
SERPINF2	C3	-0.274791225051457	protein-protein	0.274791225051457
SERPINF2	KNG1	0.237439722286862	protein-protein	0.237439722286862
F10	C3	-0.125622341269917	protein-protein	0.125622341269917
F10	SERPINF2	0.376039764110045	protein-protein	0.376039764110045
SERPINA5	KNG1	0.761285891212702	protein-protein	0.761285891212702
C5	SERPINF2	0.45368017661806	protein-protein	0.45368017661806
CD14	FCGR3A	0.2622025444651	protein-protein	0.2622025444651
CD14	C3	0.243042472284453	protein-protein	0.243042472284453
CD14	SERPINA5	-0.554860716109801	protein-protein	0.554860716109801
AGT	TTR	-0.186766092119289	protein-protein	0.186766092119289
AGT	SERPINF2	0.205268703502526	protein-protein	0.205268703502526
C4BPB	C3	-0.116728423580875	protein-protein	0.116728423580875
C4BPB	SERPINF2	0.11457411336702	protein-protein	0.11457411336702
C4BPB	F10	0.100644761570645	protein-protein	0.100644761570645
PLG	C3	-0.21688622021161	protein-protein	0.21688622021161
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
KNG1	TTR	0.183681462573998	protein-protein	0.183681462573998
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
F10	C3	-0.125622341269917	protein-protein	0.125622341269917
F10	PLG	0.562621137020703	protein-protein	0.562621137020703
AGT	C3	-0.26726257400302	protein-protein	0.26726257400302
AGT	C5	0.228393911291308	protein-protein	0.228393911291308
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
HLA-C	C3	0.477699941304289	protein-protein	0.477699941304289
HLA-A	LTF	-0.115666582377042	protein-protein	0.115666582377042
C5	MB	-0.257140075151825	protein-protein	0.257140075151825
CD14	HLA-C	0.207207933757695	protein-protein	0.207207933757695
PLG	C3	-0.21688622021161	protein-protein	0.21688622021161
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
SERPINA5	PROS1	0.154458712375766	protein-protein	0.154458712375766
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
C4BPB	PROS1	0.565554544260483	protein-protein	0.565554544260483
KNG1	C3	-0.192209143997695	protein-protein	0.192209143997695
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
VWF	F10	-0.175828587792927	protein-protein	0.175828587792927
C5	KNG1	0.126332096319121	protein-protein	0.126332096319121
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
AGT	C3	-0.26726257400302	protein-protein	0.26726257400302
AGT	C5	0.228393911291308	protein-protein	0.228393911291308
C4BPB	PROS1	0.565554544260483	protein-protein	0.565554544260483
KNG1	C3	-0.192209143997695	protein-protein	0.192209143997695
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
VWF	F10	-0.175828587792927	protein-protein	0.175828587792927
C5	KNG1	0.126332096319121	protein-protein	0.126332096319121
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
AGT	C3	-0.26726257400302	protein-protein	0.26726257400302
AGT	C5	0.228393911291308	protein-protein	0.228393911291308
C4BPB	PROS1	0.565554544260483	protein-protein	0.565554544260483
CD14	LTF	0.151564224854216	protein-protein	0.151564224854216
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
HLA-B	HBA1	-0.223647598626451	protein-protein	0.223647598626451
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
AGT	HSPA5	0.385306157329349	protein-protein	0.385306157329349
C4BPB	PROS1	0.565554544260483	protein-protein	0.565554544260483
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
CD14	LTF	0.151564224854216	protein-protein	0.151564224854216
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
F10	PLG	0.562621137020703	protein-protein	0.562621137020703
HSPA5	HLA-B	0.27385684439757	protein-protein	0.27385684439757
HSPA5	HLA-C	0.485418069042871	protein-protein	0.485418069042871
VWF	HSPA5	0.409716447167595	protein-protein	0.409716447167595
CD14	LTF	0.151564224854216	protein-protein	0.151564224854216
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
AGT	HSPA5	0.385306157329349	protein-protein	0.385306157329349
C4BPB	PROS1	0.565554544260483	protein-protein	0.565554544260483
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
SERPINA5	F10	0.286066827776958	protein-protein	0.286066827776958
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
F10	PLG	0.562621137020703	protein-protein	0.562621137020703
SERPINA5	F10	0.286066827776958	protein-protein	0.286066827776958
AGT	PLG	-0.145886992314048	protein-protein	0.145886992314048
C4BPB	PROS1	0.565554544260483	protein-protein	0.565554544260483
LYZ	LTF	0.260766873613742	protein-protein	0.260766873613742
HSPA5	NCAM1	0.129392020923177	protein-protein	0.129392020923177
MB	HBA1	0.13467869414101	protein-protein	0.13467869414101
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
AGT	SERPINF2	0.205268703502526	protein-protein	0.205268703502526
AGT	SERPINA5	-0.328547102170929	protein-protein	0.328547102170929
SERPINA3	A1BG	-0.294346440428906	protein-protein	0.294346440428906
MBL2	SERPINA3	0.339310162016096	protein-protein	0.339310162016096
ANG	A1BG	-0.311544757151956	protein-protein	0.311544757151956
ANG	SERPINA3	-0.273310834685026	protein-protein	0.273310834685026
PROC	A1BG	0.230589489657313	protein-protein	0.230589489657313
PROC	TF	0.381261292143562	protein-protein	0.381261292143562
CFI	PROC	0.267265822721061	protein-protein	0.267265822721061
ICAM1	SERPINE1	0.514169344675992	protein-protein	0.514169344675992
SERPINA3	A1BG	-0.294346440428906	protein-protein	0.294346440428906
SERPINA3	SAA1	0.515253421486259	protein-protein	0.515253421486259
PROC	TF	0.381261292143562	protein-protein	0.381261292143562
ICAM1	NRP1	0.387681793991688	protein-protein	0.387681793991688
CFI	TF	0.454614912792321	protein-protein	0.454614912792321
PROC	SERPINA3	-0.494416044587761	protein-protein	0.494416044587761
CFI	APOL1	0.259933897578008	protein-protein	0.259933897578008
MBL2	HBB	0.161716163816477	protein-protein	0.161716163816477
SERPINE1	PROC	-0.451625411986736	protein-protein	0.451625411986736
ICAM1	APOL1	-0.122431635969223	protein-protein	0.122431635969223
SERPINA3	A1BG	-0.294346440428906	protein-protein	0.294346440428906
SERPINA3	SAA1	0.515253421486259	protein-protein	0.515253421486259
ANG	A1BG	-0.311544757151956	protein-protein	0.311544757151956
ANG	SERPINA3	-0.273310834685026	protein-protein	0.273310834685026
PROC	TF	0.381261292143562	protein-protein	0.381261292143562
ICAM1	APOL1	-0.122431635969223	protein-protein	0.122431635969223
SERPINA3	SAA1	0.515253421486259	protein-protein	0.515253421486259
ANG	TF	-0.188962617164279	protein-protein	0.188962617164279
CFI	TF	0.454614912792321	protein-protein	0.454614912792321
CFI	SERPINA3	-0.13050551816223	protein-protein	0.13050551816223
ICAM1	SERPINE1	0.514169344675992	protein-protein	0.514169344675992
MBL2	TF	-0.183407547168879	protein-protein	0.183407547168879
ANG	SERPINA3	-0.273310834685026	protein-protein	0.273310834685026
SERPINE1	SERPINA3	0.276390000010575	protein-protein	0.276390000010575
SERPINE1	PROC	-0.451625411986736	protein-protein	0.451625411986736
SERPINA3	APOL1	-0.229353615082145	protein-protein	0.229353615082145
ANG	SERPINA3	-0.273310834685026	protein-protein	0.273310834685026
PROC	SERPINA3	-0.494416044587761	protein-protein	0.494416044587761
SERPINE1	PROC	-0.451625411986736	protein-protein	0.451625411986736
SERPINE1	CFI	-0.546141037338254	protein-protein	0.546141037338254
MBL2	TF	-0.183407547168879	protein-protein	0.183407547168879
SERPINE1	SAA1	0.166631560614087	protein-protein	0.166631560614087
SERPINA3	TF	-0.631209416442712	protein-protein	0.631209416442712
SERPINE1	ELANE	0.456113576606416	protein-protein	0.456113576606416
HBB	APOL1	0.200462414700745	protein-protein	0.200462414700745
HBB	APOL1	0.200462414700745	protein-protein	0.200462414700745
ELANE	SERPINA3	0.480747596583808	protein-protein	0.480747596583808
ELANE	SERPINA3	0.480747596583808	protein-protein	0.480747596583808
SERPINE1	ELANE	0.456113576606416	protein-protein	0.456113576606416
SERPINE1	ELANE	0.456113576606416	protein-protein	0.456113576606416
PROC	ELANE	-0.399110127432621	protein-protein	0.399110127432621
CFI	ELANE	-0.406640164000598	protein-protein	0.406640164000598
SERPINE1	SERPINA3	0.276390000010575	protein-protein	0.276390000010575
CAMP	ITGA2B	0.128353027136343	protein-protein	0.128353027136343
BCHE	HP	-0.244085394968344	protein-protein	0.244085394968344
MRC1	CD163	0.628898360054422	protein-protein	0.628898360054422
MRC1	SELENOP	-0.428835802757959	protein-protein	0.428835802757959
F7	ITGA2B	-0.134397629799258	protein-protein	0.134397629799258
S100A8	CD163	0.656902226575522	protein-protein	0.656902226575522
S100A8	SERPINA1	0.502743052297789	protein-protein	0.502743052297789
APOA1	F7	0.419312386021422	protein-protein	0.419312386021422
S100A9	CD163	0.821664752313857	protein-protein	0.821664752313857
S100A9	SERPINA1	0.426919316554635	protein-protein	0.426919316554635
S100A9	S100A8	0.908471921604168	protein-protein	0.908471921604168
ITGB3	ITGA2B	0.898700255351803	protein-protein	0.898700255351803
CAMP	ITGA2B	0.128353027136343	protein-protein	0.128353027136343
CAMP	HP	0.210476942586048	protein-protein	0.210476942586048
SELENOP	CD163	-0.496928945107379	protein-protein	0.496928945107379
MRC1	CD163	0.628898360054422	protein-protein	0.628898360054422
MRC1	SELENOP	-0.428835802757959	protein-protein	0.428835802757959
F7	ITGB3	-0.159439124205929	protein-protein	0.159439124205929
F7	PON1	0.129479676033835	protein-protein	0.129479676033835
S100A8	ITGA2B	-0.186256810231599	protein-protein	0.186256810231599
S100A8	HP	-0.153350587544842	protein-protein	0.153350587544842
S100A8	CAMP	0.116910158056368	protein-protein	0.116910158056368
S100A9	HP	-0.18111856629292	protein-protein	0.18111856629292
S100A9	CAMP	0.125519743743569	protein-protein	0.125519743743569
S100A9	S100A8	0.908471921604168	protein-protein	0.908471921604168
MRC1	CD163	0.628898360054422	protein-protein	0.628898360054422
S100A8	HP	-0.153350587544842	protein-protein	0.153350587544842
CA2	SERPINA1	0.100233832913932	protein-protein	0.100233832913932
S100A9	S100A8	0.908471921604168	protein-protein	0.908471921604168
MRC1	BCHE	-0.470158922537076	protein-protein	0.470158922537076
GC	PON1	0.421309611241256	protein-protein	0.421309611241256
S100A8	SERPINA1	0.502743052297789	protein-protein	0.502743052297789
S100A9	SERPINA1	0.426919316554635	protein-protein	0.426919316554635
S100A9	S100A8	0.908471921604168	protein-protein	0.908471921604168
SERPINA1	CST3	0.355018553443271	protein-protein	0.355018553443271
APOA1	SELENOP	0.519656049665362	protein-protein	0.519656049665362
CA2	S100A8	0.224857004275424	protein-protein	0.224857004275424
S100A9	HP	-0.18111856629292	protein-protein	0.18111856629292
S100A9	S100A8	0.908471921604168	protein-protein	0.908471921604168
S100A8	CD163	0.656902226575522	protein-protein	0.656902226575522
APOA1	BCHE	0.654247185626384	protein-protein	0.654247185626384
APOA1	SERPINA1	-0.670678343801953	protein-protein	0.670678343801953
FN1	SERPINA1	-0.129036365203845	protein-protein	0.129036365203845
MRC1	CD163	0.628898360054422	protein-protein	0.628898360054422
PRG4	BCHE	0.494881479724697	protein-protein	0.494881479724697
GC	HP	0.355108446289529	protein-protein	0.355108446289529
GC	PON1	0.421309611241256	protein-protein	0.421309611241256
F7	KLKB1	0.121285035097878	protein-protein	0.121285035097878
F7	GC	-0.235362891132838	protein-protein	0.235362891132838
SERPINA1	F7	-0.458578439260978	protein-protein	0.458578439260978
APOA1	GC	0.294014905969001	protein-protein	0.294014905969001
